@RELATION change_classic_combined

@ATTRIBUTE numberOfVersionsUntil  NUMERIC
@ATTRIBUTE numberOfFixesUntil   NUMERIC
@ATTRIBUTE numberOfRefactoringsUntil  NUMERIC
@ATTRIBUTE umberOfAuthorsUntil   NUMERIC
@ATTRIBUTE linesAddedUntil   NUMERIC
@ATTRIBUTE maxLinesAddedUntil   NUMERIC
@ATTRIBUTE avgLinesAddedUntil   NUMERIC
@ATTRIBUTE linesRemovedUntil   NUMERIC
@ATTRIBUTE maxLinesRemovedUntil   NUMERIC
@ATTRIBUTE avgLinesRemovedUntil   NUMERIC
@ATTRIBUTE codeChurnUntil   NUMERIC
@ATTRIBUTE maxCodeChurnUntil   NUMERIC
@ATTRIBUTE avgCodeChurnUntil   NUMERIC
@ATTRIBUTE weightedAgeWithRespectTo   NUMERIC
@ATTRIBUTE ageWithRespectTo   NUMERIC
@ATTRIBUTE cbo  NUMERIC
@ATTRIBUTE dit  NUMERIC
@ATTRIBUTE fanIn  NUMERIC
@ATTRIBUTE fanOut  NUMERIC
@ATTRIBUTE lcom  NUMERIC
@ATTRIBUTE noc  NUMERIC
@ATTRIBUTE numberOfAttributes  NUMERIC
@ATTRIBUTE numberOfAttributesInherited  NUMERIC
@ATTRIBUTE numberOfLinesOfCode  NUMERIC
@ATTRIBUTE numberOfMethods  NUMERIC
@ATTRIBUTE numberOfMethodsInherited  NUMERIC
@ATTRIBUTE numberOfPrivateAttributes  NUMERIC
@ATTRIBUTE numberOfPrivateMethods  NUMERIC
@ATTRIBUTE numberOfPublicAttributes  NUMERIC
@ATTRIBUTE numberOfPublicMethods  NUMERIC
@ATTRIBUTE rfc  NUMERIC
@ATTRIBUTE wmc  NUMERIC
@ATTRIBUTE bug   {0, 1}

@DATA
2, 0, 0, 1, 5, 5, 2.5, 6, 6, 3, -1, 0, -0.5, 38, 72.1429, 4, 1, 2, 2, 1, 0, 1, 0, 11, 2, 0, 1, 0, 0, 2, 6, 2, 0
20, 2, 0, 6, 159, 56, 7.95, 118, 44, 5.9, 41, 52, 2.05, 70.6496, 306.143, 8, 1, 6, 2, 10, 1, 9, 0, 30, 5, 6, 3, 0, 0, 2, 21, 12, 0
2, 0, 0, 1, 4, 4, 2, 4, 4, 2, 0, 0, 0, 13, 49.4286, 3, 1, 1, 2, 6, 0, 2, 0, 23, 4, 15, 2, 1, 0, 3, 13, 8, 0
2, 0, 0, 2, 5, 5, 2.5, 5, 5, 2.5, 0, 0, 0, 100.857, 135, 2, 3, 1, 1, 3, 0, 5, 0, 14, 3, 23, 5, 1, 0, 2, 8, 3, 0
10, 0, 0, 4, 301, 140, 30.1, 22, 16, 2.2, 279, 140, 27.9, 8.43901, 107.857, 4, 2, 1, 3, 55, 1, 4, 0, 53, 11, 6, 4, 0, 0, 11, 26, 13, 0
6, 0, 0, 3, 27, 15, 4.5, 29, 22, 4.83333, -2, 3, -0.333333, 50.9947, 98.8571, 10, 2, 0, 10, 3, 0, 0, 1, 34, 3, 4, 0, 0, 0, 1, 23, 3, 0
3, 0, 1, 1, 55, 36, 18.3333, 40, 31, 13.3333, 15, 27, 5, 13.4026, 71.8571, 7, 1, 2, 5, 15, 0, 3, 0, 76, 6, 6, 3, 3, 0, 3, 44, 21, 0
10, 0, 0, 3, 54, 15, 5.4, 9, 4, 0.9, 45, 15, 4.5, 9.12963, 144.857, 10, 1, 1, 9, 45, 0, 1, 0, 30, 10, 15, 1, 0, 0, 10, 19, 10, 0
6, 0, 0, 4, 26, 17, 4.33333, 23, 14, 3.83333, 3, 3, 0.5, 146.115, 227.429, 6, 2, 5, 1, 6, 0, 2, 0, 14, 4, 10, 2, 0, 0, 4, 5, 4, 0
4, 0, 0, 3, 6, 3, 1.5, 6, 3, 1.5, 0, 0, 0, 116.833, 183.857, 2, 2, 1, 1, 3, 0, 0, 0, 11, 3, 11, 0, 0, 0, 3, 6, 3, 0
16, 1, 0, 3, 127, 54, 7.9375, 95, 65, 5.9375, 32, 33, 2, 103.288, 177.143, 1, 1, 0, 1, 0, 0, 0, 0, 52, 1, 6, 0, 0, 0, 1, 25, 17, 0
14, 0, 0, 6, 109, 19, 7.78571, 194, 81, 13.8571, -85, 16, -6.07143, 27.6356, 227.429, 4, 3, 0, 4, 6, 0, 0, 7, 18, 4, 33, 0, 0, 0, 2, 11, 9, 0
12, 1, 0, 7, 75, 41, 6.25, 55, 28, 4.58333, 20, 13, 1.66667, 79.4971, 335.286, 9, 2, 1, 8, 10, 0, 3, 0, 32, 5, 26, 2, 0, 0, 5, 17, 10, 0
2, 0, 1, 2, 2, 2, 1, 2, 2, 1, 0, 0, 0, 58.5714, 95.5714, 2, 6, 0, 2, 1, 0, 0, 0, 7, 2, 20, 0, 0, 0, 2, 5, 2, 0
13, 0, 0, 3, 184, 48, 14.1538, 68, 16, 5.23077, 116, 48, 8.92308, 13.2958, 85.2857, 50, 1, 46, 5, 78, 0, 5, 0, 66, 13, 6, 5, 1, 0, 12, 40, 23, 1
4, 0, 0, 3, 8, 4, 2, 13, 7, 3.25, -5, 0, -1.25, 24.5714, 188.429, 1, 4, 1, 0, 0, 0, 0, 0, 3, 1, 36, 0, 0, 0, 1, 1, 1, 0
4, 0, 0, 3, 7, 4, 1.75, 9, 5, 2.25, -2, 0, -0.5, 135.143, 183.857, 3, 1, 1, 2, 3, 0, 2, 0, 15, 3, 0, 2, 0, 0, 3, 9, 4, 0
18, 1, 0, 7, 122, 43, 6.77778, 146, 47, 8.11111, -24, 6, -1.33333, 105.317, 335.286, 5, 1, 1, 4, 6, 0, 1, 0, 29, 4, 0, 1, 1, 0, 3, 19, 4, 0
2, 0, 0, 2, 11, 11, 5.5, 5, 5, 2.5, 6, 6, 3, 22, 56.1429, 9, 1, 2, 7, 15, 0, 1, 0, 31, 6, 9, 0, 0, 1, 6, 21, 8, 0
5, 0, 1, 2, 73, 54, 14.6, 52, 23, 10.4, 21, 31, 4.2, 36.6458, 108.143, 9, 2, 1, 8, 28, 2, 2, 0, 78, 8, 10, 2, 2, 0, 6, 33, 20, 0
6, 0, 0, 4, 35, 28, 5.83333, 39, 33, 6.5, -4, 1, -0.666667, 85.5837, 133.571, 12, 4, 2, 10, 45, 2, 0, 5, 130, 10, 80, 0, 1, 0, 2, 91, 44, 0
3, 0, 0, 3, 27, 22, 9, 30, 17, 10, -3, 5, -1, 56.963, 92.2857, 4, 1, 1, 3, 6, 0, 1, 0, 39, 4, 6, 1, 0, 0, 4, 11, 10, 0
15, 1, 0, 7, 153, 94, 10.2, 140, 86, 9.33333, 13, 8, 0.866667, 79.2708, 335.286, 12, 3, 3, 9, 45, 0, 4, 5, 79, 10, 32, 3, 0, 0, 10, 46, 25, 0
12, 0, 0, 3, 384, 199, 32, 368, 176, 30.6667, 16, 199, 1.33333, 4.52827, 155.429, 1, 3, 0, 1, 0, 0, 0, 1, 3, 1, 17, 0, 0, 0, 1, 2, 1, 0
19, 1, 0, 7, 157, 35, 8.26316, 120, 47, 6.31579, 37, 23, 1.94737, 118.944, 302.571, 16, 3, 3, 13, 325, 0, 9, 10, 204, 26, 69, 8, 2, 0, 21, 136, 56, 1
8, 1, 0, 3, 180, 119, 22.5, 202, 109, 25.25, -22, 10, -2.75, 26.9929, 132.429, 19, 1, 2, 18, 276, 0, 13, 0, 320, 24, 0, 13, 13, 0, 11, 150, 67, 1
4, 1, 0, 3, 19, 10, 4.75, 13, 12, 3.25, 6, 10, 1.5, 42.6316, 127.286, 4, 1, 3, 1, 6, 0, 3, 0, 36, 4, 0, 3, 0, 0, 3, 9, 5, 0
25, 0, 2, 5, 438, 65, 17.52, 209, 52, 8.36, 229, 65, 9.16, 29.349, 176.714, 43, 1, 30, 13, 45, 0, 0, 0, 196, 10, 6, 0, 0, 0, 10, 70, 42, 1
8, 0, 0, 3, 51, 24, 6.375, 11, 5, 1.375, 40, 21, 5, 90.619, 182, 4, 3, 4, 0, 55, 0, 5, 0, 30, 11, 70, 5, 0, 0, 11, 11, 10, 0
6, 1, 0, 2, 92, 51, 15.3333, 127, 68, 21.1667, -35, 10, -5.83333, 28.9488, 133.429, 20, 1, 0, 20, 28, 2, 4, 0, 132, 8, 0, 1, 1, 0, 1, 83, 23, 0
3, 0, 0, 2, 22, 12, 7.33333, 15, 15, 5, 7, 10, 2.33333, 44.1558, 104.857, 3, 1, 1, 2, 45, 0, 7, 0, 89, 10, 6, 5, 1, 0, 9, 32, 23, 0
10, 0, 0, 6, 89, 77, 8.9, 150, 59, 15, -61, 58, -6.1, 92.0546, 241, 1, 1, 1, 0, 1, 0, 0, 0, 22, 2, 0, 0, 0, 0, 1, 6, 6, 0
13, 0, 0, 4, 87, 48, 6.69231, 46, 15, 3.53846, 41, 42, 3.15385, 35.179, 201.286, 3, 1, 1, 2, 3, 0, 3, 0, 41, 3, 0, 2, 1, 1, 2, 16, 5, 0
2, 0, 0, 2, 2, 2, 1, 3, 3, 1.5, -1, 0, -0.5, 16.2857, 52.4286, 2, 6, 0, 2, 36, 2, 1, 110, 27, 9, 415, 1, 0, 0, 9, 17, 9, 0
2, 0, 0, 2, 9, 9, 4.5, 9, 9, 4.5, 0, 0, 0, 80, 116.143, 11, 1, 8, 3, 6, 0, 2, 0, 17, 4, 6, 0, 0, 0, 3, 11, 5, 0
9, 0, 0, 5, 24, 9, 2.66667, 26, 9, 2.88889, -2, 4, -0.222222, 75.1845, 239, 3, 1, 1, 2, 66, 2, 1, 0, 34, 12, 6, 0, 0, 0, 11, 17, 12, 1
3, 0, 0, 2, 113, 112, 37.6667, 104, 103, 34.6667, 9, 9, 3, 57.8622, 92.2857, 5, 1, 1, 4, 36, 0, 9, 0, 257, 9, 6, 0, 2, 0, 3, 65, 81, 0
5, 0, 0, 3, 347, 236, 69.4, 310, 241, 62, 37, 38, 7.4, 102.326, 183.857, 24, 1, 11, 14, 666, 0, 1, 0, 644, 37, 6, 1, 23, 0, 13, 305, 168, 0
12, 2, 0, 7, 43, 17, 3.58333, 33, 12, 2.75, 10, 6, 0.833333, 133.997, 335.286, 11, 8, 8, 3, 3, 1, 1, 4, 11, 3, 172, 1, 0, 0, 3, 7, 3, 0
44, 2, 0, 9, 544, 101, 12.3636, 310, 53, 7.04545, 234, 95, 5.31818, 127.624, 305, 18, 1, 7, 11, 66, 0, 5, 0, 153, 12, 0, 5, 8, 0, 4, 65, 28, 0
8, 1, 0, 6, 50, 28, 6.25, 40, 26, 5, 10, 6, 1.25, 209.046, 335.286, 0, 1, 0, 0, 1, 0, 1, 0, 10, 2, 0, 1, 0, 0, 2, 4, 3, 0
10, 1, 0, 6, 113, 42, 11.3, 89, 42, 8.9, 24, 42, 2.4, 84.6068, 333.143, 9, 3, 6, 3, 15, 0, 1, 0, 34, 6, 23, 1, 0, 0, 6, 19, 11, 0
35, 0, 0, 6, 527, 283, 15.0571, 570, 368, 16.2857, -43, 246, -1.22857, 36.527, 240.714, 8, 3, 2, 6, 21, 0, 2, 6, 33, 7, 15, 2, 1, 0, 4, 25, 9, 0
9, 0, 0, 4, 130, 40, 14.4444, 139, 89, 15.4444, -9, 32, -1, 44.1066, 133.571, 7, 2, 1, 6, 153, 1, 3, 3, 245, 18, 13, 0, 1, 0, 1, 119, 69, 0
2, 0, 0, 2, 8, 8, 4, 11, 11, 5.5, -3, 0, -1.5, 63.8571, 98, 3, 1, 1, 2, 10, 0, 2, 0, 39, 5, 0, 2, 1, 0, 4, 12, 9, 0
9, 0, 0, 3, 163, 103, 18.1111, 89, 46, 9.88889, 74, 85, 8.22222, 13.8379, 64.4286, 16, 4, 1, 15, 105, 0, 0, 0, 103, 15, 70, 0, 0, 0, 9, 52, 27, 0
4, 0, 0, 3, 18, 10, 4.5, 15, 13, 3.75, 3, 6, 0.75, 58.9683, 133.571, 9, 3, 1, 8, 21, 0, 1, 5, 124, 7, 65, 1, 5, 0, 2, 82, 45, 0
114, 2, 0, 9, 2068, 547, 18.1404, 2879, 709, 25.2544, -811, 100, -7.11403, 133.395, 335.286, 34, 2, 27, 7, 210, 2, 2, 0, 181, 21, 11, 1, 2, 0, 6, 95, 61, 0
3, 0, 0, 2, 4, 4, 1.33333, 0, 0, 0, 4, 4, 1.33333, 0.571429, 381, 4, 3, 2, 2, 1, 0, 0, 1, 14, 2, 5, 0, 0, 0, 1, 5, 3, 0
12, 0, 0, 3, 271, 106, 22.5833, 81, 47, 6.75, 190, 106, 15.8333, 11.2177, 150.571, 8, 1, 2, 6, 10, 2, 2, 0, 43, 5, 6, 1, 0, 0, 1, 22, 10, 0
12, 0, 0, 3, 163, 79, 13.5833, 40, 13, 3.33333, 123, 79, 10.25, 5.0447, 149.143, 4, 2, 1, 3, 6, 0, 1, 1, 30, 4, 14, 1, 0, 0, 1, 12, 4, 0
66, 2, 2, 9, 2036, 286, 30.8485, 1375, 224, 20.8333, 661, 129, 10.0152, 180.901, 335.286, 38, 5, 4, 35, 666, 0, 7, 2, 627, 37, 70, 7, 19, 0, 10, 291, 158, 0
10, 1, 0, 7, 56, 18, 5.6, 51, 22, 5.1, 5, 10, 0.5, 142.923, 303.571, 5, 1, 2, 3, 45, 0, 2, 0, 80, 10, 0, 2, 5, 0, 5, 42, 24, 0
13, 0, 0, 4, 35, 9, 2.69231, 54, 28, 4.15385, -19, 7, -1.46154, 46.1959, 104.429, 4, 2, 1, 3, 55, 1, 3, 0, 49, 11, 6, 2, 0, 1, 11, 26, 11, 0
15, 0, 0, 4, 101, 26, 6.73333, 66, 16, 4.4, 35, 20, 2.33333, 68.7341, 190.143, 12, 2, 1, 11, 1, 0, 1, 0, 50, 2, 6, 1, 0, 0, 1, 32, 9, 0
5, 0, 2, 2, 38, 20, 7.6, 36, 35, 7.2, 2, 14, 0.4, 22.0226, 71.8571, 17, 1, 2, 15, 15, 0, 5, 0, 85, 6, 6, 5, 2, 0, 3, 41, 21, 0
9, 0, 0, 4, 19, 7, 2.11111, 94, 71, 10.4444, -75, 7, -8.33333, 46.1429, 170.286, 2, 2, 1, 1, 1, 0, 0, 1, 6, 2, 5, 0, 0, 0, 1, 3, 2, 0
22, 1, 0, 8, 132, 35, 6, 142, 49, 6.45455, -10, 7, -0.454545, 138.313, 335.286, 13, 3, 3, 11, 45, 0, 1, 4, 99, 10, 21, 1, 2, 0, 4, 39, 33, 0
11, 0, 0, 5, 48, 24, 4.36364, 58, 22, 5.27273, -10, 22, -0.909091, 102.824, 194.143, 10, 1, 2, 8, 6, 0, 5, 0, 52, 4, 0, 5, 0, 0, 4, 28, 19, 0
18, 1, 0, 7, 449, 167, 24.9444, 393, 156, 21.8333, 56, 15, 3.11111, 130.322, 335.286, 9, 1, 1, 9, 28, 0, 9, 0, 92, 8, 6, 9, 2, 0, 6, 54, 21, 1
5, 0, 2, 2, 32, 20, 6.4, 83, 74, 16.6, -51, 3, -10.2, 33.1875, 79.8571, 4, 2, 1, 3, 10, 0, 2, 1, 28, 5, 7, 2, 1, 0, 1, 13, 6, 0
13, 2, 0, 8, 86, 44, 6.61538, 74, 43, 5.69231, 12, 6, 0.923077, 232.954, 335.286, 6, 1, 5, 1, 21, 1, 3, 0, 38, 7, 6, 2, 0, 0, 6, 12, 9, 0
21, 1, 0, 6, 267, 73, 12.7143, 345, 209, 16.4286, -78, 32, -3.71429, 56.2836, 240.714, 4, 2, 1, 3, 36, 0, 2, 7, 69, 9, 20, 2, 0, 0, 2, 27, 13, 1
3, 0, 0, 2, 4, 4, 1.33333, 0, 0, 0, 4, 4, 1.33333, 0.571429, 381, 5, 3, 3, 2, 1, 0, 0, 1, 14, 2, 5, 0, 0, 0, 1, 5, 3, 0
3, 0, 1, 3, 22, 19, 7.33333, 6, 5, 2, 16, 18, 5.33333, 7.77273, 83, 4, 1, 2, 2, 6, 5, 0, 0, 25, 4, 0, 0, 0, 0, 1, 11, 6, 0
14, 2, 0, 6, 176, 72, 12.5714, 127, 72, 9.07143, 49, 72, 3.5, 68.6713, 333.143, 17, 2, 14, 3, 55, 5, 4, 0, 50, 11, 12, 4, 0, 0, 11, 19, 17, 0
2, 0, 0, 2, 2, 2, 1, 6, 6, 3, -4, 0, -2, 77.5714, 111.714, 4, 1, 1, 3, 10, 0, 7, 0, 77, 5, 6, 7, 2, 0, 3, 23, 18, 1
2, 0, 0, 2, 10, 10, 5, 16, 16, 8, -6, 0, -3, 21, 55.1429, 2, 1, 0, 2, 1, 0, 0, 0, 27, 2, 6, 0, 1, 0, 1, 9, 2, 1
23, 2, 0, 4, 770, 219, 33.4783, 348, 263, 15.1304, 422, 219, 18.3478, 66.7935, 128.429, 36, 5, 2, 35, 780, 0, 18, 2, 624, 40, 74, 18, 21, 0, 9, 266, 126, 0
6, 0, 1, 4, 37, 31, 6.16667, 36, 33, 6, 1, 3, 0.166667, 53.0772, 95.5714, 13, 5, 1, 12, 105, 0, 2, 13, 126, 15, 80, 0, 5, 0, 9, 80, 21, 0
15, 0, 0, 4, 440, 111, 29.3333, 86, 25, 5.73333, 354, 110, 23.6, 62.825, 151.143, 8, 5, 1, 7, 45, 4, 1, 5, 77, 10, 66, 1, 1, 0, 7, 39, 11, 0
51, 1, 0, 8, 886, 239, 17.3725, 677, 275, 13.2745, 209, 59, 4.09804, 160.78, 307, 30, 1, 9, 24, 231, 0, 6, 0, 293, 22, 8, 5, 6, 0, 16, 184, 77, 0
17, 0, 0, 6, 476, 213, 28, 466, 298, 27.4118, 10, 189, 0.588235, 51.6633, 257.429, 12, 3, 1, 11, 105, 0, 6, 0, 179, 15, 21, 6, 7, 0, 8, 72, 22, 0
7, 0, 0, 4, 110, 56, 15.7143, 6, 4, 0.857143, 104, 56, 14.8571, 6.81558, 92.5714, 9, 4, 7, 2, 15, 4, 2, 1, 31, 6, 44, 1, 0, 0, 5, 14, 12, 0
42, 1, 0, 8, 666, 179, 15.8571, 454, 123, 10.8095, 212, 66, 5.04762, 147.961, 331.714, 32, 5, 1, 31, 378, 0, 5, 2, 337, 28, 73, 5, 9, 0, 11, 182, 73, 0
4, 0, 1, 1, 21, 17, 5.25, 26, 24, 6.5, -5, 2, -1.25, 37.9456, 79.8571, 2, 1, 1, 1, 45, 0, 5, 0, 52, 10, 0, 5, 1, 0, 9, 27, 15, 0
4, 0, 0, 3, 11, 10, 2.75, 22, 19, 5.5, -11, 0, -2.75, 92.974, 130, 1, 1, 1, 0, 10, 0, 5, 0, 68, 5, 0, 5, 1, 0, 4, 19, 17, 0
20, 2, 0, 8, 243, 86, 12.15, 318, 112, 15.9, -75, 14, -3.75, 178.855, 299.429, 5, 1, 0, 5, 15, 0, 2, 0, 49, 6, 0, 2, 2, 0, 4, 26, 8, 0
5, 0, 1, 3, 33, 17, 6.6, 31, 26, 6.2, 2, 14, 0.4, 37.0693, 95.5714, 13, 5, 0, 13, 105, 0, 6, 13, 91, 15, 80, 6, 2, 0, 10, 52, 20, 0
10, 1, 0, 4, 327, 106, 32.7, 53, 40, 5.3, 274, 106, 27.4, 12.1857, 122.429, 17, 2, 7, 10, 91, 2, 4, 0, 107, 14, 56, 4, 3, 0, 7, 54, 28, 1
2, 0, 0, 2, 1, 1, 0.5, 1, 1, 0.5, 0, 0, 0, 92, 128.143, 1, 1, 0, 1, 0, 0, 0, 0, 10, 1, 6, 0, 0, 0, 1, 7, 3, 0
5, 1, 1, 4, 15, 10, 3, 7, 5, 1.4, 8, 10, 1.6, 43.819, 150.429, 2, 3, 1, 1, 6, 0, 1, 5, 16, 4, 14, 1, 0, 0, 3, 9, 5, 0
3, 0, 0, 2, 32, 28, 10.6667, 35, 31, 11.6667, -3, 0, -1, 63.4107, 104.857, 4, 1, 1, 3, 21, 0, 2, 0, 50, 7, 6, 2, 2, 0, 5, 29, 15, 0
3, 0, 0, 1, 80, 79, 26.6667, 109, 108, 36.3333, -29, 0, -9.66667, 49.1643, 83.8571, 5, 1, 1, 4, 21, 0, 0, 0, 214, 7, 6, 0, 1, 0, 2, 117, 64, 0
43, 4, 0, 9, 760, 332, 17.6744, 864, 385, 20.093, -104, 66, -2.4186, 91.8015, 335.286, 24, 1, 14, 12, 36, 0, 1, 0, 95, 9, 6, 1, 4, 0, 5, 52, 27, 0
18, 1, 0, 6, 223, 141, 12.3889, 172, 69, 9.55556, 51, 72, 2.83333, 93.8065, 287.857, 6, 1, 0, 6, 66, 0, 6, 0, 114, 12, 0, 6, 8, 0, 1, 48, 28, 0
4, 0, 0, 2, 67, 32, 16.75, 4, 4, 1, 63, 32, 15.75, 5.34755, 151, 4, 5, 3, 1, 3, 0, 1, 4, 9, 3, 64, 1, 0, 0, 3, 5, 3, 0
10, 0, 0, 4, 214, 77, 21.4, 33, 20, 3.3, 181, 77, 18.1, 28.3264, 140, 5, 3, 1, 4, 36, 0, 4, 3, 58, 9, 32, 4, 0, 0, 1, 30, 14, 1
7, 0, 0, 3, 62, 34, 8.85714, 16, 6, 2.28571, 46, 33, 6.57143, 110.7, 128.143, 9, 3, 1, 8, 3, 0, 1, 8, 29, 3, 36, 1, 0, 0, 1, 17, 8, 1
7, 0, 0, 3, 85, 41, 12.1429, 68, 30, 9.71429, 17, 11, 2.42857, 30.2353, 106, 23, 1, 3, 20, 465, 0, 33, 0, 452, 31, 6, 14, 23, 1, 7, 291, 118, 1
2, 0, 0, 2, 8, 8, 4, 21, 21, 10.5, -13, 0, -6.5, 23.8571, 58, 4, 1, 1, 3, 45, 0, 1, 0, 38, 10, 0, 0, 0, 1, 10, 18, 10, 0
1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.4286, 9, 5, 4, 6, 66, 0, 1, 30, 51, 12, 253, 1, 0, 0, 12, 27, 17, 0
15, 1, 0, 6, 48, 10, 3.2, 38, 8, 2.53333, 10, 10, 0.666667, 79.1696, 228, 4, 1, 0, 4, 1, 0, 0, 0, 21, 2, 0, 0, 0, 0, 2, 13, 5, 0
1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.4286, 4, 2, 2, 2, 10, 0, 0, 0, 22, 5, 9, 0, 0, 0, 5, 11, 7, 0
26, 1, 0, 5, 168, 29, 6.46154, 120, 49, 4.61538, 48, 15, 1.84615, 66.2338, 190.143, 27, 1, 3, 24, 36, 2, 1, 0, 143, 9, 0, 1, 3, 0, 1, 75, 35, 1
17, 0, 0, 6, 195, 49, 11.4706, 117, 31, 6.88235, 78, 36, 4.58824, 62.1326, 241.714, 8, 2, 2, 6, 10, 0, 3, 0, 38, 5, 28, 2, 2, 0, 1, 15, 5, 0
8, 0, 0, 3, 20, 10, 2.5, 107, 93, 13.375, -87, 10, -10.875, 75.6929, 239, 0, 2, 0, 0, 1, 0, 0, 1, 3, 2, 18, 0, 0, 0, 1, 2, 1, 1
20, 1, 0, 7, 110, 38, 5.5, 100, 39, 5, 10, 10, 0.5, 79.8883, 335.286, 6, 3, 2, 4, 66, 0, 4, 8, 73, 12, 57, 4, 1, 0, 10, 39, 27, 0
39, 0, 0, 6, 1217, 223, 31.2051, 657, 118, 16.8462, 560, 220, 14.359, 61.2122, 187.857, 30, 2, 1, 29, 528, 1, 7, 1, 412, 33, 11, 6, 29, 0, 2, 233, 96, 1
2, 0, 0, 1, 1, 1, 0.5, 1, 1, 0.5, 0, 0, 0, 5.85714, 77.4286, 3, 2, 2, 1, 1, 0, 0, 1, 6, 2, 14, 0, 0, 0, 1, 3, 2, 0
2, 0, 0, 2, 4, 4, 2, 4, 4, 2, 0, 0, 0, 36.2857, 72.4286, 4, 1, 3, 1, 0, 0, 1, 0, 3, 1, 0, 1, 0, 0, 1, 2, 1, 0
2, 0, 0, 2, 1, 1, 0.5, 1, 1, 0.5, 0, 0, 0, 20.2857, 56.4286, 0, 1, 0, 0, 3, 3, 0, 3, 6, 3, 7, 0, 0, 0, 3, 4, 2, 0
3, 0, 1, 1, 22, 12, 7.33333, 12, 12, 4, 10, 10, 3.33333, 7.75325, 45.8571, 9, 1, 7, 2, 15, 2, 1, 0, 21, 6, 0, 1, 1, 0, 5, 14, 4, 0
3, 0, 0, 1, 12, 9, 4, 11, 10, 3.66667, 1, 2, 0.333333, 10.5, 49.4286, 4, 1, 3, 1, 3, 0, 29, 0, 8, 3, 6, 4, 1, 0, 2, 7, 3, 0
4, 0, 0, 3, 6, 4, 1.5, 9, 7, 2.25, -3, 0, -0.75, 83.0476, 147.571, 2, 1, 1, 1, 6, 0, 1, 0, 50, 4, 6, 0, 1, 0, 2, 14, 10, 0
4, 0, 0, 2, 5, 4, 1.25, 1, 1, 0.25, 4, 4, 1, 3.25714, 381, 15, 1, 12, 3, 105, 0, 6, 0, 77, 15, 0, 4, 2, 0, 13, 43, 24, 0
23, 7, 1, 4, 94, 24, 4.08696, 51, 18, 2.21739, 43, 11, 1.86957, 32.6565, 133.571, 2, 1, 2, 0, 1, 0, 42, 0, 6, 2, 7, 0, 0, 0, 2, 3, 1, 1
4, 2, 1, 2, 11, 10, 2.75, 5, 4, 1.25, 6, 10, 1.5, 11.9091, 130.857, 3, 3, 1, 2, 3, 0, 0, 7, 15, 3, 14, 0, 0, 0, 2, 8, 4, 0
10, 0, 0, 4, 455, 212, 45.5, 89, 46, 8.9, 366, 212, 36.6, 3.5551, 61.1429, 9, 4, 2, 7, 120, 0, 2, 0, 96, 16, 39, 2, 4, 0, 7, 47, 20, 0
61, 2, 1, 9, 508, 54, 8.32787, 506, 82, 8.29508, 2, 40, 0.0327869, 120.229, 335.286, 17, 6, 9, 8, 325, 2, 5, 2, 106, 26, 89, 3, 0, 0, 25, 66, 29, 0
46, 0, 0, 7, 428, 50, 9.30435, 302, 72, 6.56522, 126, 41, 2.73913, 80.5377, 275.429, 18, 2, 1, 17, 66, 0, 3, 6, 188, 12, 14, 3, 8, 0, 2, 86, 34, 0
8, 0, 0, 4, 23, 10, 2.875, 25, 10, 3.125, -2, 4, -0.25, 19.646, 227.429, 2, 2, 1, 1, 3, 0, 0, 0, 10, 3, 29, 0, 1, 0, 2, 6, 4, 0
5, 0, 0, 3, 6, 3, 1.2, 12, 6, 2.4, -6, 0, -1.2, 116.833, 183.857, 2, 2, 1, 1, 3, 0, 0, 0, 11, 3, 11, 0, 0, 0, 3, 6, 3, 0
6, 2, 1, 3, 20, 10, 3.33333, 28, 18, 4.66667, -8, 7, -1.33333, 28.5714, 128.286, 1, 2, 0, 1, 1, 23, 0, 5, 9, 2, 12, 0, 0, 0, 1, 4, 4, 0
4, 0, 0, 3, 10, 7, 2.5, 19, 17, 4.75, -9, 1, -2.25, 95.1714, 144.857, 9, 3, 1, 8, 15, 0, 1, 1, 49, 6, 41, 0, 0, 0, 2, 26, 11, 0
10, 0, 0, 3, 170, 74, 17, 60, 43, 6, 110, 74, 11, 9.96639, 154.857, 6, 1, 4, 2, 21, 0, 3, 0, 32, 7, 6, 3, 0, 0, 7, 20, 10, 0
2, 0, 0, 2, 32, 32, 16, 32, 32, 16, 0, 0, 0, 117, 151.143, 7, 1, 2, 7, 6, 0, 3, 0, 53, 4, 0, 3, 2, 0, 2, 22, 7, 0
22, 1, 0, 8, 340, 93, 15.4545, 171, 28, 7.77273, 169, 67, 7.68182, 182.176, 335.286, 10, 2, 1, 9, 36, 0, 2, 12, 118, 9, 14, 2, 0, 0, 3, 40, 32, 0
4, 0, 0, 3, 69, 61, 17.25, 12, 8, 3, 57, 58, 14.25, 31.0745, 102, 8, 1, 1, 7, 1, 0, 0, 0, 87, 2, 6, 0, 1, 0, 1, 36, 11, 1
9, 0, 0, 4, 542, 252, 60.2222, 98, 51, 10.8889, 444, 252, 49.3333, 3.74275, 61.1429, 7, 4, 1, 6, 153, 0, 3, 0, 120, 18, 39, 3, 7, 0, 7, 61, 23, 0
